,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J04 Gárdonyi,6729,1248,7977,181,173,8158,3453,3136,11611,Fejér county,J04 Gárdonyi
J05 Martonvásári,5637,1241,6878,248,236,7126,2735,2460,9861,Fejér county,J05 Martonvásári
J06 Móri,7581,1427,9008,188,185,9196,3608,3300,12804,Fejér county,J06 Móri
J07 Polgárdi,4119,914,5033,175,173,5208,1983,1775,7191,Fejér county,J07 Polgárdi
J08 Sárbogárdi,5961,1343,7304,197,189,7501,3263,2956,10764,Fejér county,J08 Sárbogárdi
J09 Székesfehérvári,31790,7628,39418,743,725,40161,19014,17436,59175,Fejér county,J09 Székesfehérvári
Statistical micro-regions,,,,,,,,,,Fejér county,Statistical micro-regions
K01 Abai,4725,1032,5757,240,231,5997,2021,1781,8018,Fejér county,K01 Abai
K02 Adonyi,5366,1097,6463,177,170,6640,2669,2415,9309,Fejér county,K02 Adonyi
K03 Bicskei,8196,1766,9962,327,311,10289,3941,3530,14230,Fejér county,K03 Bicskei
K04 Dunaújvárosi,15331,3985,19316,232,227,19548,11361,10490,30909,Fejér county,K04 Dunaújvárosi
K05 Enyingi,4283,969,5252,229,227,5481,2194,1962,7675,Fejér county,K05 Enyingi
K06 Ercsi,4946,1072,6018,203,192,6221,2355,2129,8576,Fejér county,K06 Ercsi
K07 Gárdonyi,6237,1164,7401,169,161,7570,3276,2975,10846,Fejér county,K07 Gárdonyi
K08 Móri,7957,1470,9427,200,197,9627,3758,3434,13385,Fejér county,K08 Móri
K09 Sárbogárdi,5223,1181,6404,151,146,6555,2945,2676,9500,Fejér county,K09 Sárbogárdi
K10 Székesfehérvári,29844,7238,37082,622,609,37704,18292,16800,55996,Fejér county,K10 Székesfehérvári
Size-groups of population,,,,,,,,,,Fejér county,Size-groups of population
Towns,,,,,,,,,,Fejér county,Towns
Together,53625,13468,67093,1139,1104,68232,34596,31818,102828,Fejér county,Together
Villages,,,,,,,,,,Fejér county,Villages
  199 and less,36,1,37,.,.,37,23,23,60,Fejér county,  199 and less
Together,38483,7506,45989,1411,1367,47400,18216,16374,65616,Fejér county,Together
Total,92108,20974,113082,2550,2471,115632,52812,48192,168444,Fejér county,Total
Of which:,,,,,,,,,,Fejér county,Of which:
Data of localities,,,,,,,,,,Fejér county,Data of localities
County seat,,,,,,,,,,Fejér county,County seat
J09 K10 Székesfehérvár,22068,5701,27769,351,346,28120,14790,13692,42910,Fejér county,J09 K10 Székesfehérvár
Other town of county right,,,,,,,,,,Fejér county,Other town of county right
J02 K04 Dunaújváros,9899,3075,12974,82,78,13056,8957,8309,22013,Fejér county,J02 K04 Dunaújváros
Other towns,,,,,,,,,,Fejér county,Other towns
J02 K02 Adony,858,166,1024,17,16,1041,445,407,1486,Fejér county,J02 K02 Adony
J01 K03 Bicske,2363,601,2964,76,72,3040,1181,1067,4221,Fejér county,J01 K03 Bicske
J06 K08 Bodajk,915,179,1094,23,23,1117,415,375,1532,Fejér county,J06 K08 Bodajk
J03 K05 Enying,1391,340,1731,81,81,1812,688,600,2500,Fejér county,J03 K05 Enying
J05 K06 Ercsi,1728,434,2162,72,65,2234,867,792,3101,Fejér county,J05 K06 Ercsi
J04 K07 Gárdony,2179,431,2610,61,58,2671,1245,1135,3916,Fejér county,J04 K07 Gárdony
J05 K06 Martonvásár,1227,235,1462,61,60,1523,541,483,2064,Fejér county,J05 K06 Martonvásár
J06 K08 Mór,3277,683,3960,76,74,4036,1610,1475,5646,Fejér county,J06 K08 Mór
J07 K10 Polgárdi,1377,322,1699,39,39,1738,638,568,2376,Fejér county,J07 K10 Polgárdi
J02 K02 Pusztaszabolcs,1310,294,1604,68,64,1672,635,572,2307,Fejér county,J02 K02 Pusztaszabolcs
J02 K04 Rácalmás,1097,168,1265,18,18,1283,426,384,1709,Fejér county,J02 K04 Rácalmás
J08 K09 Sárbogárd,2693,604,3297,86,83,3383,1425,1295,4808,Fejér county,J08 K09 Sárbogárd
J04 K07 Velence,1243,235,1478,28,27,1506,733,664,2239,Fejér county,J04 K07 Velence
Villages,,,,,,,,,,Fejér county,Villages
J09 K01 Aba,910,182,1092,51,50,1143,381,345,1524,Fejér county,J09 K01 Aba
J08 K09 Alap,428,93,521,7,6,528,253,233,781,Fejér county,J08 K09 Alap
J01 K03 Alcsútdoboz,297,66,363,13,12,376,139,121,515,Fejér county,J01 K03 Alcsútdoboz
J08 K09 Alsószentiván,135,33,168,5,5,173,82,74,255,Fejér county,J08 K09 Alsószentiván
J06 K08 Bakonycsernye,710,121,831,23,23,854,330,295,1184,Fejér county,J06 K08 Bakonycsernye
J09 K10 Bakonykúti,36,1,37,.,.,37,23,23,60,Fejér county,J09 K10 Bakonykúti
J06 K08 Balinka,209,38,247,11,11,258,98,91,356,Fejér county,J06 K08 Balinka
J02 K04 Baracs,827,135,962,19,19,981,375,341,1356,Fejér county,J02 K04 Baracs
J05 K06 Baracska,606,128,734,17,17,751,287,260,1038,Fejér county,J05 K06 Baracska
J02 K02 Beloiannisz,219,66,285,6,6,291,137,121,428,Fejér county,J02 K02 Beloiannisz
J02 K02 Besnyõ,396,83,479,17,17,496,182,160,678,Fejér county,J02 K02 Besnyõ
J01 K03 Bodmér,62,9,71,1,1,72,25,24,97,Fejér county,J01 K03 Bodmér
J08 K09 Cece,580,117,697,10,10,707,307,280,1014,Fejér county,J08 K09 Cece
J01 K03 Csabdi,253,56,309,20,18,329,114,112,443,Fejér county,J01 K03 Csabdi
J06 K08 Csákberény,271,57,328,6,6,334,154,149,488,Fejér county,J06 K08 Csákberény
J01 K03 Csákvár,1134,234,1368,35,34,1403,589,537,1992,Fejér county,J01 K03 Csákvár
J06 K08 Csókakõ,291,41,332,6,5,338,148,129,486,Fejér county,J06 K08 Csókakõ
J09 K10 Csór,398,69,467,14,14,481,193,171,674,Fejér county,J09 K10 Csór
J09 K01 Csõsz,214,50,264,6,5,270,87,74,357,Fejér county,J09 K01 Csõsz
J02 K04 Daruszentmiklós,275,76,351,11,11,362,182,165,544,Fejér county,J02 K04 Daruszentmiklós
J03 K05 Dég,456,104,560,24,24,584,241,225,825,Fejér county,J03 K05 Dég
J02 K04 Elõszállás,503,101,604,16,15,620,277,249,897,Fejér county,J02 K04 Elõszállás
J01 K03 Etyek,929,209,1138,29,26,1167,433,391,1600,Fejér county,J01 K03 Etyek
J06 K08 Fehérvárcsurgó,449,74,523,17,17,540,195,173,735,Fejér county,J06 K08 Fehérvárcsurgó
J01 K03 Felcsút,408,60,468,8,8,476,166,148,642,Fejér county,J01 K03 Felcsút
J07 K10 Füle,184,39,223,9,9,232,100,85,332,Fejér county,J07 K10 Füle
J09 K03 Gánt,129,38,167,4,4,171,62,56,233,Fejér county,J09 K03 Gánt
J05 K06 Gyúró,247,49,296,21,20,317,137,127,454,Fejér county,J05 K06 Gyúró
J08 K09 Hantos,204,45,249,10,10,259,98,90,357,Fejér county,J08 K09 Hantos
J08 K09 Igar,209,50,259,3,2,262,161,143,423,Fejér county,J08 K09 Igar
J09 K10 Iszkaszentgyörgy,451,71,522,16,15,538,195,174,733,Fejér county,J09 K10 Iszkaszentgyörgy
J06 K08 Isztimér,251,31,282,4,4,286,75,70,361,Fejér county,J06 K08 Isztimér
J02 K02 Iváncsa,643,114,757,14,12,771,270,235,1041,Fejér county,J02 K02 Iváncsa
J07 K10 Jenõ,274,55,329,10,10,339,142,128,481,Fejér county,J07 K10 Jenõ
J05 K03 Kajászó,199,50,249,19,19,268,121,104,389,Fejér county,J05 K03 Kajászó
J09 K01 Káloz,486,110,596,26,23,622,219,196,841,Fejér county,J09 K01 Káloz
J04 K07 Kápolnásnyék,808,163,971,23,23,994,369,334,1363,Fejér county,J04 K07 Kápolnásnyék
J06 K08 Kincsesbánya,356,62,418,7,7,425,174,161,599,Fejér county,J06 K08 Kincsesbánya
J02 K04 Kisapostag,362,43,405,12,12,417,131,122,548,Fejér county,J02 K04 Kisapostag
J07 K05 Kisláng,521,115,636,22,22,658,277,253,935,Fejér county,J07 K05 Kisláng
J07 K10 Kõszárhegy,350,66,416,14,13,430,112,94,542,Fejér county,J07 K10 Kõszárhegy
J02 K02 Kulcs,610,97,707,10,10,717,358,340,1075,Fejér county,J02 K02 Kulcs
J03 K05 Lajoskomárom,493,75,568,25,24,593,233,195,826,Fejér county,J03 K05 Lajoskomárom
J07 K05 Lepsény,626,156,782,38,37,820,320,297,1140,Fejér county,J07 K05 Lepsény
J09 K10 Lovasberény,628,105,733,17,17,750,331,311,1081,Fejér county,J09 K10 Lovasberény
J09 K08 Magyaralmás,376,43,419,12,12,431,150,134,581,Fejér county,J09 K08 Magyaralmás
J01 K03 Mány,510,94,604,29,27,633,195,163,828,Fejér county,J01 K03 Mány
J07 K05 Mátyásdomb,168,31,199,9,9,208,63,56,271,Fejér county,J07 K05 Mátyásdomb
J02 K04 Mezõfalva,1040,198,1238,41,41,1279,502,450,1781,Fejér county,J02 K04 Mezõfalva
J03 K05 Mezõkomárom,207,39,246,6,6,252,128,120,380,Fejér county,J03 K05 Mezõkomárom
J07 K05 Mezõszentgyörgy,258,51,309,17,17,326,130,114,456,Fejér county,J07 K05 Mezõszentgyörgy
J08 K09 Mezõszilas,421,87,508,18,18,526,238,215,764,Fejér county,J08 K09 Mezõszilas
J09 K10 Moha,129,19,148,2,2,150,74,67,224,Fejér county,J09 K10 Moha
J04 K07 Nadap,128,25,153,7,7,160,55,48,215,Fejér county,J04 K07 Nadap
J07 K10 Nádasdladány,361,79,440,17,17,457,201,180,658,Fejér county,J07 K10 Nádasdladány
J02 K04 Nagykarácsony,310,62,372,9,9,381,174,159,555,Fejér county,J02 K04 Nagykarácsony
J08 K09 Nagylók,226,55,281,7,7,288,151,138,439,Fejér county,J08 K09 Nagylók
J06 K08 Nagyveleg,148,36,184,1,1,185,67,63,252,Fejér county,J06 K08 Nagyveleg
J02 K04 Nagyvenyim,1018,127,1145,24,24,1169,337,311,1506,Fejér county,J02 K04 Nagyvenyim
J01 K03 Óbarok,171,24,195,9,9,204,86,79,290,Fejér county,J01 K03 Óbarok
J04 K07 Pákozd,725,111,836,27,24,863,258,232,1121,Fejér county,J04 K07 Pákozd
J09 K10 Pátka,387,77,464,17,15,481,204,183,685,Fejér county,J09 K10 Pátka
J04 K07 Pázmánd,477,75,552,10,10,562,245,227,807,Fejér county,J04 K07 Pázmánd
J02 K02 Perkáta,838,193,1031,33,33,1064,465,419,1529,Fejér county,J02 K02 Perkáta
J06 K08 Pusztavám,585,84,669,13,13,682,289,266,971,Fejér county,J06 K08 Pusztavám
J05 K06 Ráckeresztúr,707,159,866,27,25,893,371,328,1264,Fejér county,J05 K06 Ráckeresztúr
J08 K09 Sáregres,149,40,189,5,5,194,96,85,290,Fejér county,J08 K09 Sáregres
J09 K10 Sárkeresztes,358,64,422,11,11,433,131,109,564,Fejér county,J09 K10 Sárkeresztes
J08 K01 Sárkeresztúr,442,102,544,43,40,587,165,144,752,Fejér county,J08 K01 Sárkeresztúr
J09 K10 Sárkeszi,111,33,144,6,6,150,71,60,221,Fejér county,J09 K10 Sárkeszi
J09 K01 Sárosd,689,158,847,21,21,868,300,264,1168,Fejér county,J09 K01 Sárosd
J08 K01 Sárszentágota,296,60,356,3,3,359,153,136,512,Fejér county,J08 K01 Sárszentágota
J09 K10 Sárszentmihály,680,129,809,26,26,835,278,243,1113,Fejér county,J09 K10 Sárszentmihály
J09 K01 Seregélyes,935,235,1170,48,48,1218,392,344,1610,Fejér county,J09 K01 Seregélyes
J09 K01 Soponya,375,76,451,30,30,481,185,160,666,Fejér county,J09 K01 Soponya
J06 K08 Söréd,119,21,140,1,1,141,53,53,194,Fejér county,J06 K08 Söréd
J04 K07 Sukoró,308,37,345,6,5,351,219,206,570,Fejér county,J04 K07 Sukoró
J09 K10 Szabadbattyán,1013,218,1231,45,43,1276,427,375,1703,Fejér county,J09 K10 Szabadbattyán
J04 K02 Szabadegyháza,492,84,576,12,12,588,177,161,765,Fejér county,J04 K02 Szabadegyháza
J03 K05 Szabadhídvég,163,58,221,7,7,228,114,102,342,Fejér county,J03 K05 Szabadhídvég
J01 K03 Szár,384,52,436,16,16,452,149,130,601,Fejér county,J01 K03 Szár
J01 K03 Tabajd,171,42,213,13,12,226,99,87,325,Fejér county,J01 K03 Tabajd
J09 K01 Tác,378,59,437,12,11,449,139,118,588,Fejér county,J09 K01 Tác
J05 K06 Tordas,431,67,498,5,5,503,152,139,655,Fejér county,J05 K06 Tordas
J01 K03 Újbarok,100,16,116,4,4,120,47,42,167,Fejér county,J01 K03 Újbarok
J09 K10 Úrhida,554,90,644,10,10,654,172,153,826,Fejér county,J09 K10 Úrhida
J08 K09 Vajta,178,57,235,.,.,235,134,123,369,Fejér county,J08 K09 Vajta
J05 K03 Vál,492,119,611,26,25,637,259,227,896,Fejér county,J05 K03 Vál
J04 K07 Vereb,162,45,207,4,4,211,94,82,305,Fejér county,J04 K07 Vereb
J01 K03 Vértesacsa,381,63,444,20,19,464,184,163,648,Fejér county,J01 K03 Vértesacsa
J01 K03 Vértesboglár,213,33,246,5,5,251,92,79,343,Fejér county,J01 K03 Vértesboglár
J09 K10 Zámoly,485,100,585,18,16,603,210,184,813,Fejér county,J09 K10 Zámoly
J04 K07 Zichyújfalu,207,42,249,3,3,252,58,47,310,Fejér county,J04 K07 Zichyújfalu
County total,92108,20974,113082,2550,2471,115632,52812,48192,168444,Fejér county,County total
Towns of county right,40842,9785,50627,624,610,51251,28717,26431,79968,Gyõr-Moson-Sopron county,Towns of county right
Other towns,17361,3390,20751,526,508,21277,8715,8000,29992,Gyõr-Moson-Sopron county,Other towns
Towns together,58203,13175,71378,1150,1118,72528,37432,34431,109960,Gyõr-Moson-Sopron county,Towns together
Villages ,40948,6898,47846,1707,1661,49553,17230,15554,66783,Gyõr-Moson-Sopron county,Villages 
County total,99151,20073,119224,2857,2779,122081,54662,49985,176743,Gyõr-Moson-Sopron county,County total
Districts,,,,,,,,,,Gyõr-Moson-Sopron county,Districts
J01 Csornai,7627,1241,8868,248,242,9116,3539,3259,12655,Gyõr-Moson-Sopron county,J01 Csornai
J02 Gyõri,41387,9148,50535,1017,986,51552,25086,22951,76638,Gyõr-Moson-Sopron county,J02 Gyõri
J03 Kapuvári,5598,943,6541,205,200,6746,2542,2326,9288,Gyõr-Moson-Sopron county,J03 Kapuvári
J04 Mosonmagyaróvári,16451,3196,19647,551,534,20198,8043,7363,28241,Gyõr-Moson-Sopron county,J04 Mosonmagyaróvári
J05 Pannonhalmi,3293,591,3884,120,119,4004,1535,1378,5539,Gyõr-Moson-Sopron county,J05 Pannonhalmi
J06 Soproni,21592,4380,25972,589,576,26561,12393,11324,38954,Gyõr-Moson-Sopron county,J06 Soproni
J07 Téti,3203,574,3777,127,122,3904,1524,1384,5428,Gyõr-Moson-Sopron county,J07 Téti
Statistical micro-regions,,,,,,,,,,Gyõr-Moson-Sopron county,Statistical micro-regions
K01 Csornai,7889,1290,9179,263,257,9442,3624,3332,13066,Gyõr-Moson-Sopron county,K01 Csornai
K02 Gyõri,39361,8736,48097,914,887,49011,24066,22045,73077,Gyõr-Moson-Sopron county,K02 Gyõri
K03 Kapuvár-Beledi,5545,929,6474,203,198,6677,2510,2298,9187,Gyõr-Moson-Sopron county,K03 Kapuvár-Beledi
K04 Mosonmagyaróvári,16975,3298,20273,574,557,20847,8293,7577,29140,Gyõr-Moson-Sopron county,K04 Mosonmagyaróvári
K05 Pannonhalmai,3598,664,4262,133,132,4395,1686,1515,6081,Gyõr-Moson-Sopron county,K05 Pannonhalmai
K06 Sopron-Fertõdi,21645,4394,26039,591,578,26630,12425,11352,39055,Gyõr-Moson-Sopron county,K06 Sopron-Fertõdi
K07 Téti,4138,762,4900,179,170,5079,2058,1866,7137,Gyõr-Moson-Sopron county,K07 Téti
Size-groups of population,,,,,,,,,,Gyõr-Moson-Sopron county,Size-groups of population
Towns ,,,,,,,,,,Gyõr-Moson-Sopron county,Towns 
Together,58203,13175,71378,1150,1118,72528,37432,34431,109960,Gyõr-Moson-Sopron county,Together
Villages ,,,,,,,,,,Gyõr-Moson-Sopron county,Villages 
  199 and less,441,89,530,24,24,554,306,281,860,Gyõr-Moson-Sopron county,  199 and less
Together,40948,6898,47846,1707,1661,49553,17230,15554,66783,Gyõr-Moson-Sopron county,Together
Total,99151,20073,119224,2857,2779,122081,54662,49985,176743,Gyõr-Moson-Sopron county,Total
Of which:,,,,,,,,,,Gyõr-Moson-Sopron county,Of which:
Data of localities,,,,,,,,,,Gyõr-Moson-Sopron county,Data of localities
County seat,,,,,,,,,,Gyõr-Moson-Sopron county,County seat
J02 K02 Gyõr,27722,6914,34636,420,409,35056,19979,18415,55035,Gyõr-Moson-Sopron county,J02 K02 Gyõr
Other town of county right,,,,,,,,,,Gyõr-Moson-Sopron county,Other town of county right
J06 K06 Sopron,13120,2871,15991,204,201,16195,8738,8016,24933,Gyõr-Moson-Sopron county,J06 K06 Sopron
Other towns,,,,,,,,,,Gyõr-Moson-Sopron county,Other towns
J03 K03 Beled,629,94,723,26,26,749,279,252,1028,Gyõr-Moson-Sopron county,J03 K03 Beled
J01 K01 Csorna,2501,401,2902,75,72,2977,1059,972,4036,Gyõr-Moson-Sopron county,J01 K01 Csorna
J06 K06 Fertõd,720,144,864,38,37,902,361,334,1263,Gyõr-Moson-Sopron county,J06 K06 Fertõd
J06 K06 Fertõszentmiklós,876,144,1020,28,28,1048,384,360,1432,Gyõr-Moson-Sopron county,J06 K06 Fertõszentmiklós
J04 K04 Jánossomorja,1374,227,1601,74,72,1675,456,404,2131,Gyõr-Moson-Sopron county,J04 K04 Jánossomorja
J03 K03 Kapuvár,2506,415,2921,86,83,3007,1135,1043,4142,Gyõr-Moson-Sopron county,J03 K03 Kapuvár
J04 K04 Mosonmagyaróvár,7170,1676,8846,125,120,8971,4347,4013,13318,Gyõr-Moson-Sopron county,J04 K04 Mosonmagyaróvár
J05 K05 Pannonhalma,711,147,858,34,33,892,338,304,1230,Gyõr-Moson-Sopron county,J05 K05 Pannonhalma
J07 K07 Tét,874,142,1016,40,37,1056,356,318,1412,Gyõr-Moson-Sopron county,J07 K07 Tét
Villages,,,,,,,,,,Gyõr-Moson-Sopron county,Villages
J02 K02 Abda,725,116,841,24,24,865,250,228,1115,Gyõr-Moson-Sopron county,J02 K02 Abda
J01 K01 Acsalag,111,20,131,3,3,134,56,51,190,Gyõr-Moson-Sopron county,J01 K01 Acsalag
J06 K06 Ágfalva,473,77,550,15,15,565,157,143,722,Gyõr-Moson-Sopron county,J06 K06 Ágfalva
J06 K06 Agyagosszergény,198,37,235,9,9,244,93,80,337,Gyõr-Moson-Sopron county,J06 K06 Agyagosszergény
J07 K07 Árpás,57,13,70,2,2,72,31,29,103,Gyõr-Moson-Sopron county,J07 K07 Árpás
J04 K04 Ásványráró,412,79,491,17,17,508,206,186,714,Gyõr-Moson-Sopron county,J04 K04 Ásványráró
J03 K03 Babót,257,37,294,11,11,305,132,120,437,Gyõr-Moson-Sopron county,J03 K03 Babót
J01 K01 Bágyogszovát,282,50,332,12,12,344,143,130,487,Gyõr-Moson-Sopron county,J01 K01 Bágyogszovát
J05 K05 Bakonygyirót,35,4,39,1,1,40,34,34,74,Gyõr-Moson-Sopron county,J05 K05 Bakonygyirót
J05 K05 Bakonypéterd,54,11,65,1,1,66,36,34,102,Gyõr-Moson-Sopron county,J05 K05 Bakonypéterd
J05 K05 Bakonyszentlászló,426,81,507,4,4,511,208,190,719,Gyõr-Moson-Sopron county,J05 K05 Bakonyszentlászló
J01 K01 Barbacs,161,27,188,3,3,191,93,85,284,Gyõr-Moson-Sopron county,J01 K01 Barbacs
J04 K04 Bezenye,319,55,374,24,24,398,136,122,534,Gyõr-Moson-Sopron county,J04 K04 Bezenye
J02 K01 Bezi,106,25,131,5,5,136,41,34,177,Gyõr-Moson-Sopron county,J02 K01 Bezi
J01 K07 Bodonhely,59,14,73,3,3,76,43,39,119,Gyõr-Moson-Sopron county,J01 K07 Bodonhely
J01 K01 Bogyoszló,146,30,176,4,4,180,69,64,249,Gyõr-Moson-Sopron county,J01 K01 Bogyoszló
J02 K02 Bõny,469,78,547,15,13,562,228,194,790,Gyõr-Moson-Sopron county,J02 K02 Bõny
J02 K02 Börcs,285,52,337,7,7,344,91,82,435,Gyõr-Moson-Sopron county,J02 K02 Börcs
J01 K01 Bõsárkány,483,72,555,21,19,576,190,169,766,Gyõr-Moson-Sopron county,J01 K01 Bõsárkány
J01 K01 Cakóháza,10,2,12,2,2,14,4,4,18,Gyõr-Moson-Sopron county,J01 K01 Cakóháza
J03 K03 Cirák,127,25,152,10,10,162,59,52,221,Gyõr-Moson-Sopron county,J03 K03 Cirák
J06 K06 Csáfordjánosfa,28,7,35,4,4,39,28,28,67,Gyõr-Moson-Sopron county,J06 K06 Csáfordjánosfa
J06 K06 Csapod,117,32,149,3,3,152,70,61,222,Gyõr-Moson-Sopron county,J06 K06 Csapod
J06 K06 Csér,6,2,8,.,.,8,5,5,13,Gyõr-Moson-Sopron county,J06 K06 Csér
J07 K07 Csikvánd,80,26,106,9,9,115,66,58,181,Gyõr-Moson-Sopron county,J07 K07 Csikvánd
J04 K04 Darnózseli,354,50,404,15,15,419,128,116,547,Gyõr-Moson-Sopron county,J04 K04 Darnózseli
J03 K03 Dénesfa,83,15,98,5,5,103,41,39,144,Gyõr-Moson-Sopron county,J03 K03 Dénesfa
J01 K01 Dör,128,25,153,2,2,155,57,52,212,Gyõr-Moson-Sopron county,J01 K01 Dör
J04 K04 Dunakiliti,455,59,514,27,27,541,171,154,712,Gyõr-Moson-Sopron county,J04 K04 Dunakiliti
J04 K04 Dunaremete,58,12,70,2,2,72,22,21,94,Gyõr-Moson-Sopron county,J04 K04 Dunaremete
J02 K02 Dunaszeg,431,65,496,20,18,516,168,151,684,Gyõr-Moson-Sopron county,J02 K02 Dunaszeg
J02 K02 Dunaszentpál,160,18,178,10,10,188,51,46,239,Gyõr-Moson-Sopron county,J02 K02 Dunaszentpál
J04 K04 Dunasziget,303,55,358,27,26,385,157,138,542,Gyõr-Moson-Sopron county,J04 K04 Dunasziget
J06 K06 Ebergõc,28,12,40,2,2,42,19,16,61,Gyõr-Moson-Sopron county,J06 K06 Ebergõc
J05 K05 Écs,419,68,487,14,14,501,166,150,667,Gyõr-Moson-Sopron county,J05 K05 Écs
J03 K03 Edve,29,6,35,.,.,35,17,13,52,Gyõr-Moson-Sopron county,J03 K03 Edve
J01 K01 Egyed,126,24,150,2,2,152,55,49,207,Gyõr-Moson-Sopron county,J01 K01 Egyed
J06 K06 Egyházasfalu,186,33,219,13,13,232,77,67,309,Gyõr-Moson-Sopron county,J06 K06 Egyházasfalu
J02 K02 Enese,415,60,475,22,22,497,121,109,618,Gyõr-Moson-Sopron county,J02 K02 Enese
J01 K01 Farád,466,57,523,20,20,543,167,154,710,Gyõr-Moson-Sopron county,J01 K01 Farád
J02 K01 Fehértó,100,18,118,2,2,120,57,51,177,Gyõr-Moson-Sopron county,J02 K01 Fehértó
J04 K04 Feketeerdõ,132,16,148,5,5,153,32,32,185,Gyõr-Moson-Sopron county,J04 K04 Feketeerdõ
J07 K07 Felpéc,191,30,221,5,4,226,94,88,320,Gyõr-Moson-Sopron county,J07 K07 Felpéc
J05 K05 Fenyõfõ,26,2,28,.,.,28,18,15,46,Gyõr-Moson-Sopron county,J05 K05 Fenyõfõ
J06 K06 Fertõboz,64,13,77,5,5,82,24,21,106,Gyõr-Moson-Sopron county,J06 K06 Fertõboz
J06 K06 Fertõendréd,139,23,162,9,9,171,43,42,214,Gyõr-Moson-Sopron county,J06 K06 Fertõendréd
J06 K06 Fertõhomok,139,19,158,4,4,162,73,66,235,Gyõr-Moson-Sopron county,J06 K06 Fertõhomok
J06 K06 Fertõrákos,525,83,608,20,17,628,234,212,862,Gyõr-Moson-Sopron county,J06 K06 Fertõrákos
J06 K06 Fertõszéplak,280,51,331,7,7,338,114,103,452,Gyõr-Moson-Sopron county,J06 K06 Fertõszéplak
J02 K02 Gönyû,653,125,778,26,24,804,262,220,1066,Gyõr-Moson-Sopron county,J02 K02 Gönyû
J06 K06 Gyalóka,10,1,11,2,2,13,17,13,30,Gyõr-Moson-Sopron county,J06 K06 Gyalóka
J07 K07 Gyarmat,291,43,334,14,14,348,176,164,524,Gyõr-Moson-Sopron county,J07 K07 Gyarmat
J03 K03 Gyóró,90,17,107,5,5,112,32,31,144,Gyõr-Moson-Sopron county,J03 K03 Gyóró
J07 K07 Gyömöre,266,65,331,6,6,337,164,151,501,Gyõr-Moson-Sopron county,J07 K07 Gyömöre
J05 K05 Gyõrasszonyfa,113,11,124,4,4,128,66,59,194,Gyõr-Moson-Sopron county,J05 K05 Gyõrasszonyfa
J02 K02 Gyõrladamér,361,63,424,17,16,441,85,76,526,Gyõr-Moson-Sopron county,J02 K02 Gyõrladamér
J02 K05 Gyõrság,305,73,378,13,13,391,151,137,542,Gyõr-Moson-Sopron county,J02 K05 Gyõrság
J02 K01 Gyõrsövényház,183,31,214,12,12,226,73,66,299,Gyõr-Moson-Sopron county,J02 K01 Gyõrsövényház
J07 K07 Gyõrszemere,764,126,890,19,18,909,254,219,1163,Gyõr-Moson-Sopron county,J07 K07 Gyõrszemere
J02 K02 Gyõrújbarát,1380,187,1567,52,52,1619,425,396,2044,Gyõr-Moson-Sopron county,J02 K02 Gyõrújbarát
J02 K02 Gyõrújfalu,372,62,434,13,13,447,140,128,587,Gyõr-Moson-Sopron county,J02 K02 Gyõrújfalu
J02 K02 Gyõrzámoly,573,77,650,10,10,660,177,158,837,Gyõr-Moson-Sopron county,J02 K02 Gyõrzámoly
J04 K04 Halászi,699,114,813,30,29,843,237,212,1080,Gyõr-Moson-Sopron county,J04 K04 Halászi
J06 K06 Harka,436,70,506,11,11,517,90,83,607,Gyõr-Moson-Sopron county,J06 K06 Harka
J04 K04 Hédervár,265,48,313,10,9,323,105,100,428,Gyõr-Moson-Sopron county,J04 K04 Hédervár
J04 K04 Hegyeshalom,782,131,913,33,30,946,380,343,1326,Gyõr-Moson-Sopron county,J04 K04 Hegyeshalom
J06 K06 Hegykõ,322,53,375,13,11,388,138,122,526,Gyõr-Moson-Sopron county,J06 K06 Hegykõ
